08:50:49 [RL] ONNX model loaded: E:\batteryclaw\dist\BatteryClaw_business\models\batteryclaw_policy.onnx
08:50:49 [RL]   Input : ['batch', 15]
08:50:49 [RL]   Output: ['batch', 7]
08:50:49 [RL] [Phase 3] Online learning ON (state: C:\Users\ADMIN\AppData\Roaming\BatteryClaw\state)
08:50:49 [RL] BatteryClaw RL Brain starting
08:50:49 [RL] Wake interval: 10.0s
08:50:49 [RL]   Waiting for engine... (1/10, retry in 1.1s)
08:50:50 [RL]   Waiting for engine... (2/10, retry in 2.0s)
08:50:53 [RL]   Waiting for engine... (3/10, retry in 4.2s)
08:50:57 [RL] Pipe connected (attempt 4)
08:50:57 [RL] Ready. Controlling...
08:50:57 [RL] ------------------------------------------------------------
09:01:58 [RL] Step   67 | Batt:82.0% | CPU: 4.1% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12463mW | Temp:40C | BATTERY | App:WINWORD.exe    | Saved:1053mWh
09:02:08 [RL] Step   68 | Batt:82.0% | CPU:11.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12463mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1088mWh
09:02:18 [RL] Step   69 | Batt:82.0% | CPU: 6.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12584mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1088mWh
09:02:28 [RL] Step   70 | Batt:81.0% | CPU: 7.9% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13174mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1102mWh
09:02:38 [RL] Step   71 | Batt:81.0% | CPU: 8.0% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13024mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1115mWh
09:02:48 [RL] Step   72 | Batt:81.0% | CPU:16.2% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13024mW | Temp:40C | BATTERY | App:POWERPNT.exe   | Saved:1152mWh
09:02:58 [RL] Step   73 | Batt:81.0% | CPU:21.0% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13024mW | Temp:40C | BATTERY | App:POWERPNT.exe   | Saved:1188mWh
09:03:08 [RL] Step   74 | Batt:81.0% | CPU: 9.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:13024mW | Temp:40C | BATTERY | App:POWERPNT.exe   | Saved:1224mWh
09:03:18 [RL] Step   75 | Batt:81.0% | CPU:10.2% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14815mW | Temp:40C | BATTERY | App:POWERPNT.exe   | Saved:1224mWh
09:03:28 [RL] Step   76 | Batt:81.0% | CPU:17.1% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:15622mW | Temp:40C | BATTERY | App:browser.exe    | Saved:1224mWh
09:03:38 [RL] Step   77 | Batt:81.0% | CPU:23.2% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:15622mW | Temp:40C | BATTERY | App:browser.exe    | Saved:1267mWh
09:03:48 [RL] Step   78 | Batt:80.0% | CPU:21.1% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12586mW | Temp:40C | BATTERY | App:browser.exe    | Saved:1267mWh
09:03:58 [RL] Step   79 | Batt:80.0% | CPU:24.1% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12586mW | Temp:40C | BATTERY | App:browser.exe    | Saved:1302mWh
09:04:08 [RL] Step   80 | Batt:80.0% | CPU:25.6% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12586mW | Temp:40C | BATTERY | App:browser.exe    | Saved:1337mWh
09:04:18 [RL] Step   81 | Batt:80.0% | CPU:29.5% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12586mW | Temp:40C | BATTERY | App:explorer.exe   | Saved:1372mWh
09:04:28 [RL] Step   82 | Batt:80.0% | CPU:20.8% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14586mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1372mWh
09:04:38 [RL] Step   83 | Batt:80.0% | CPU:11.2% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14586mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1413mWh
09:04:48 [RL] Step   84 | Batt:80.0% | CPU:18.5% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12943mW | Temp:40C | BATTERY | App:browser.exe    | Saved:1413mWh
09:04:58 [RL] Step   85 | Batt:80.0% | CPU:16.0% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12943mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1449mWh
09:05:08 [RL] Step   86 | Batt:79.0% | CPU: 7.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12697mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1449mWh
09:05:18 [RL] Step   87 | Batt:79.0% | CPU: 8.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12697mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:1484mWh
