Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\WINDOWS\system32> cd E:\batteryclaw
PS E:\batteryclaw> python simulator\train.py --steps 5000000
BatteryClaw — Train PPO Agent
==================================================
[1] Khoi tao 8 environments song song...
[2] Khoi tao PPO model...
[3] Train 5,000,000 steps...
    n_envs      = 8
    batch_size  = 512
    net_arch    = [256, 256]


  >>> Phase 1/4 | difficulty=1 | 600,000 steps
  Steps: 2,250,000 | FPS:  1221 | Mean reward:  291.62 | Elapsed: 1843s

  >>> Phase 3/4 | difficulty=3 | 2,150,000 steps
  Steps: 2,275,000 | FPS:  1223 | Mean reward:  306.87 | Elapsed: 1860s
  Steps: 2,300,000 | FPS:  1222 | Mean reward:  335.88 | Elapsed: 1882s
  Steps: 2,325,000 | FPS:  1224 | Mean reward:  301.17 | Elapsed: 1899s
  Steps: 2,350,000 | FPS:  1223 | Mean reward:  303.43 | Elapsed: 1922s
  Steps: 2,375,000 | FPS:  1225 | Mean reward:  222.09 | Elapsed: 1939s
  Steps: 2,400,000 | FPS:  1222 | Mean reward:  304.04 | Elapsed: 1964s
  Steps: 2,425,000 | FPS:  1221 | Mean reward:  263.61 | Elapsed: 1986s
  Steps: 2,450,000 | FPS:  1223 | Mean reward:  278.86 | Elapsed: 2004s
  Steps: 2,475,000 | FPS:  1221 | Mean reward:  286.77 | Elapsed: 2026s
  Steps: 2,500,000 | FPS:  1223 | Mean reward:  220.18 | Elapsed: 2043s
  Steps: 2,525,000 | FPS:  1222 | Mean reward:  305.30 | Elapsed: 2066s
  Steps: 2,550,000 | FPS:  1224 | Mean reward:  268.43 | Elapsed: 2083s
  Steps: 2,575,000 | FPS:  1223 | Mean reward:  187.42 | Elapsed: 2106s
  Steps: 2,600,000 | FPS:  1223 | Mean reward:  220.46 | Elapsed: 2126s
  Steps: 2,625,000 | FPS:  1222 | Mean reward:  346.70 | Elapsed: 2149s
